t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.4,-6.4087,-1.0011,0.000168481,-0.0109844,0.00379328,-0.00114728,315,-6.41069,-0.999941,-0.00112586,0.0151414,0.00419442,0.00179766,0,0.000492146,0.131196,-0.00325875,0.0018673,0.825554,6.17555,8.5983,5.45052,5.44298,5.45047,5.44303,-0.299029,-0.458774,-67.4376,-67.4381,0.62478,10.8935,0.86989,10.8935
0.41,-6.40739,-1.00113,0.000186142,-0.0107653,0.00439488,-0.00115032,320,-6.40928,-0.999939,-0.00116139,0.0151473,0.00419696,0.00179912,0,0.00050847,0.13109,-0.00323923,0.00194663,0.826829,6.21395,8.58273,5.45908,5.45127,5.45907,5.45136,-0.340888,-0.433842,-67.5424,-67.5425,0.628665,10.9104,0.868315,10.9103
0.42,-6.40607,-1.00116,0.000204363,-0.0105352,0.00499757,-0.00115277,325,-6.40787,-0.999937,-0.0011967,0.0151532,0.0041995,0.00180057,0,0.000524856,0.131369,-0.00321106,0.00199064,0.823476,6.25019,8.56686,5.43709,5.42905,5.43712,5.42918,-0.386036,-0.408466,-67.2692,-67.2688,0.632331,10.8663,0.866709,10.8661
0.43,-6.40476,-1.0012,0.000223298,-0.0102969,0.00559029,-0.00115031,329,-6.40674,-0.999935,-0.00123179,0.0151579,0.00420153,0.00180174,0,0.000541296,0.131246,-0.00318796,0.00206604,0.824956,6.28601,8.53668,5.447,5.43869,5.44708,5.43888,-0.426607,-0.38125,-67.391,-67.3899,0.635955,10.886,0.863656,10.8857
0.44,-6.40345,-1.00123,0.000242764,-0.0100487,0.00619221,-0.00115155,334,-6.40533,-0.999933,-0.00126662,0.0151638,0.00420407,0.0018032,0,0.000557781,0.1315,-0.00315628,0.00210762,0.821906,6.32008,8.51765,5.427,5.41848,5.42712,5.41871,-0.470397,-0.354404,-67.1426,-67.141,0.639403,10.8458,0.861731,10.8455
0.45,-6.40213,-1.00126,0.000262911,-0.00979309,0.0067916,-0.00115219,339,-6.40392,-0.999931,-0.0013012,0.0151698,0.00420661,0.00180466,0,0.000574301,0.131365,-0.0031302,0.00217935,0.823527,6.35466,8.50031,5.43784,5.42906,5.43801,5.42935,-0.508931,-0.325312,-67.2759,-67.2737,0.642901,10.8674,0.859976,10.8669
0.46,-6.40082,-1.00129,0.000283559,-0.0095298,0.00738086,-0.00114801,343,-6.40279,-0.99993,-0.00133548,0.0151745,0.00420865,0.00180582,0,0.000590849,0.131599,-0.00309535,0.00221809,0.820717,6.38558,8.46636,5.41943,5.41044,5.41964,5.41078,-0.551215,-0.297343,-67.0473,-67.0444,0.646029,10.8304,0.856542,10.8299
0.47,-6.3995,-1.00132,0.000304855,-0.00925978,0.00797606,-0.00114754,348,-6.40138,-0.999928,-0.00136949,0.0151805,0.00421119,0.00180729,0,0.000607416,0.131456,-0.00306678,0.00228661,0.822431,6.41768,8.4458,5.43087,5.42164,5.43114,5.42204,-0.589175,-0.266881,-67.1882,-67.1846,0.649277,10.8532,0.854462,10.8525
0.48,-6.39819,-1.00136,0.000326626,-0.00898264,0.00856894,-0.00114656,353,-6.39997,-0.999925,-0.00140318,0.0151864,0.00421374,0.00180875,0,0.000623994,0.131672,-0.00302927,0.00232289,0.819837,6.44707,8.42319,5.41388,5.40445,5.4142,5.40491,-0.62963,-0.238009,-66.9774,-66.9731,0.65225,10.8191,0.852174,10.8183
0.49,-6.39687,-1.00139,0.000349013,-0.00870049,0.00914895,-0.00114075,357,-6.39885,-0.999924,-0.00143657,0.0151911,0.00421578,0.00180992,0,0.000640577,0.131522,-0.00299836,0.00238774,0.821642,6.47396,8.38763,5.42592,5.41625,5.4263,5.41678,-0.66685,-0.207131,-67.1258,-67.1207,0.65497,10.8431,0.848576,10.8422
0.5,-6.39555,-1.00142,0.000371844,-0.00841152,0.00973507,-0.00113875,362,-6.39744,-0.999922,-0.00146961,0.0151971,0.00421833,0.00181138,0,0.000657158,0.131728,-0.00295844,0.0024214,0.819168,6.50177,8.364,5.40972,5.39986,5.41015,5.40045,-0.7055,-0.177199,-66.9248,-66.9189,0.657784,10.8106,0.846186,10.8096
0.51,-6.39424,-1.00145,0.00039526,-0.00811851,0.0103159,-0.00113623,367,-6.39603,-0.999919,-0.00150233,0.015203,0.00422088,0.00181285,0,0.00067373,0.131578,-0.0029257,0.00248303,0.820976,6.52981,8.3419,5.42178,5.41169,5.42228,5.41236,-0.740674,-0.144313,-67.0736,-67.0669,0.660621,10.8346,0.84395,10.8335
0.52,-6.39292,-1.00148,0.000419094,-0.00782075,0.010884,-0.00112898,371,-6.3949,-0.999918,-0.00153469,0.0152078,0.00422292,0.00181403,0,0.000690287,0.131773,-0.00288375,0.00251417,0.818637,6.55349,8.30256,5.40645,5.39619,5.407,5.39692,-0.778466,-0.114373,-66.8836,-66.8761,0.663017,10.8039,0.83997,10.8026
0.53,-6.3916,-1.00151,0.000443483,-0.0075188,0.011456,-0.00112553,376,-6.3935,-0.999915,-0.00156671,0.0152137,0.00422548,0.00181549,0,0.000706823,0.131621,-0.00284946,0.00257292,0.820455,6.578,8.27668,5.41858,5.4081,5.4192,5.4089,-0.813544,-0.0812529,-67.0333,-67.0249,0.665496,10.8281,0.837352,10.8267
0.54,-6.39029,-1.00154,0.000468264,-0.00721218,0.0120236,-0.00112166,381,-6.39209,-0.999913,-0.00159835,0.0152197,0.00422803,0.00181696,0,0.000723333,0.131807,-0.00280575,0.00260163,0.818231,6.59973,8.24994,5.404,5.39336,5.40469,5.39423,-0.849326,-0.0511098,-66.8527,-66.8435,0.667695,10.7989,0.834646,10.7974
0.55,-6.38897,-1.00156,0.000493572,-0.00690278,0.0125764,-0.00111304,385,-6.39096,-0.999911,-0.00162963,0.0152244,0.00423008,0.00181814,0,0.000739811,0.131653,-0.00276991,0.00265704,0.820076,6.6192,8.20885,5.4163,5.40545,5.41706,5.4064,-0.883938,-0.0181378,-67.0047,-66.9945,0.669664,10.8235,0.830489,10.8218
0.56,-6.38765,-1.00159,0.00051924,-0.00658879,0.0131338,-0.00110832,390,-6.38956,-0.999909,-0.00166052,0.0152304,0.00423264,0.00181961,0,0.000756252,0.131834,-0.00272448,0.00268324,0.817915,6.63942,8.18013,5.40214,5.39114,5.40295,5.39215,-0.918506,0.0125595,-66.8293,-66.8182,0.67171,10.7951,0.827584,10.7933
0.57,-6.38633,-1.00162,0.000545409,-0.00627266,0.0136844,-0.00110316,395,-6.38815,-0.999907,-0.00169104,0.0152363,0.0042352,0.00182109,0,0.000772652,0.131682,-0.00268759,0.00273595,0.819735,6.65936,8.15236,5.41426,5.40306,5.41515,5.40416,-0.951307,0.04674,-66.9792,-66.9671,0.673728,10.8193,0.824774,10.8173
0.58,-6.38502,-1.00165,0.000571918,-0.00595357,0.0142212,-0.00109335,399,-6.38702,-0.999905,-0.00172115,0.0152411,0.00423725,0.00182227,0,0.000789006,0.131854,-0.00264088,0.00276007,0.817683,6.67464,8.10688,5.40082,5.38948,5.40177,5.39065,-0.985651,0.07672,-66.8127,-66.7998,0.675273,10.7924,0.820173,10.7903
0.59,-6.3837,-1.00167,0.000598895,-0.00563198,0.0147608,-0.00108742,404,-6.38562,-0.999902,-0.00175087,0.0152471,0.00423981,0.00182374,0,0.000805308,0.131704,-0.00260283,0.00280981,0.819479,6.69165,8.0765,5.41278,5.40126,5.41381,5.4025,-1.01803,0.110965,-66.9607,-66.9468,0.676994,10.8163,0.817099,10.814
0.6,-6.38238,-1.0017,0.000626188,-0.00530763,0.0152947,-0.00108114,409,-6.38421,-0.9999,-0.00178019,0.015253,0.00424238,0.00182522,0,0.000821556,0.13187,-0.00255495,0.00283167,0.817494,6.70641,8.0446,5.39977,5.38811,5.40087,5.38943,-1.05015,0.141339,-66.7998,-66.7849,0.678488,10.7903,0.813872,10.7879
0.61,-6.38106,-1.00173,0.000653922,-0.00498241,0.0158127,-0.0010702,413,-6.38309,-0.999898,-0.0018091,0.0152578,0.00424443,0.0018264,0,0.000837746,0.131723,-0.00251594,0.00287833,0.81926,6.71986,8.00003,5.41153,5.3997,5.41271,5.4011,-1.08175,0.175535,-66.9454,-66.9295,0.679849,10.8138,0.809363,10.8112
0.62,-6.37975,-1.00175,0.000681949,-0.00465421,0.0163341,-0.00106323,418,-6.38168,-0.999895,-0.00183759,0.0152638,0.004247,0.00182788,0,0.000853872,0.131883,-0.00246712,0.0028982,0.817345,6.73139,7.96614,5.39898,5.38703,5.40022,5.3885,-1.11292,0.2054,-66.7901,-66.7733,0.681015,10.7887,0.805934,10.786
