t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phi, Q_varphif, Q_varphir
0.49,-6.46097,-1.06039,-0.00491725,0.165694,100,-6.46209,-0.999988,-0.0603975,0.016799,0.0047473,0.00197795,0.00105955,0.05958,0.0921365,-0.00268761,0.00972232,0.0793857,42.7131,1.32784,1.33899,1.304,1.31495,-10.3372,-3.8185,-17.2562,-16.9364,4.32129,2.66682,2.61894
0.5,-6.46005,-1.06042,-0.00481908,0.167757,103,-6.46096,-0.999987,-0.0604258,0.0168044,0.00474954,0.00197916,0.00106032,0.0595969,0.0921892,-0.00269001,0.00997132,0.0788645,42.45,1.32026,1.33149,1.29663,1.30766,-10.2958,-3.75019,-17.159,-16.8418,4.29467,2.65176,2.60429
0.51,-6.45913,-1.06045,-0.00471843,0.169793,105,-6.4602,-0.999987,-0.0604542,0.016808,0.00475104,0.00197996,0.00106083,0.0596137,0.0922258,-0.00269278,0.0102184,0.0785033,42.1983,1.31516,1.32649,1.29185,1.30297,-10.2491,-3.67463,-17.0939,-16.7808,4.26921,2.64165,2.59482
0.52,-6.45821,-1.06048,-0.00461534,0.171812,108,-6.45907,-0.999986,-0.0604827,0.0168134,0.00475329,0.00198117,0.0010616,0.0596304,0.092269,-0.00269434,0.0104621,0.0780763,41.9424,1.30901,1.32042,1.286,1.29721,-10.2056,-3.60425,-17.0151,-16.7059,4.24331,2.62944,2.58321
0.53,-6.45729,-1.0605,-0.00450981,0.173804,110,-6.45831,-0.999986,-0.0605111,0.016817,0.00475478,0.00198197,0.00106211,0.059647,0.0922986,-0.00269619,0.0107035,0.0777863,41.7113,1.30493,1.31643,1.28236,1.29366,-10.1511,-3.52362,-16.9631,-16.6595,4.21994,2.62136,2.57602
0.54,-6.45636,-1.06053,-0.0044019,0.175774,112,-6.45756,-0.999985,-0.0605396,0.0168206,0.00475628,0.00198278,0.00106262,0.0596636,0.0923337,-0.0026969,0.0109415,0.077441,41.4717,1.29995,1.31155,1.27781,1.28921,-10.0999,-3.44784,-16.8996,-16.6015,4.19569,2.6115,2.56702
0.55,-6.45544,-1.06056,-0.00429161,0.177726,115,-6.45642,-0.999984,-0.0605681,0.016826,0.00475853,0.00198398,0.00106339,0.05968,0.0923573,-0.00269778,0.0111774,0.0772105,41.2309,1.2968,1.3085,1.27514,1.28664,-10.053,-3.37161,-16.8597,-16.5677,4.17133,2.6053,2.56178
0.56,-6.45452,-1.06059,-0.00417899,0.179652,117,-6.45567,-0.999984,-0.0605967,0.0168296,0.00476003,0.00198479,0.00106391,0.0596964,0.0923863,-0.00269769,0.0114102,0.0769264,40.9881,1.29276,1.30455,1.27158,1.28318,-10.0042,-3.29706,-16.8082,-16.5225,4.14677,2.59731,2.55476
0.57,-6.45359,-1.06062,-0.00406404,0.181561,120,-6.45453,-0.999983,-0.0606252,0.016835,0.00476228,0.001986,0.00106468,0.0597127,0.0924059,-0.00269773,0.0116411,0.0767361,40.7388,1.29022,1.30212,1.26956,1.28127,-9.96203,-3.22396,-16.7762,-16.4973,4.12154,2.59234,2.55083
0.58,-6.45267,-1.06064,-0.00394681,0.183444,122,-6.45378,-0.999982,-0.0606538,0.0168386,0.00476378,0.00198681,0.00106519,0.0597289,0.0924299,-0.00269698,0.0118689,0.0765014,40.5152,1.28685,1.29884,1.26679,1.2786,-9.90629,-3.14508,-16.7334,-16.4622,4.09892,2.58569,2.54539
0.59,-6.45174,-1.06067,-0.00382731,0.185308,125,-6.45265,-0.999981,-0.0606824,0.016844,0.00476603,0.00198802,0.00106597,0.0597451,0.0924461,-0.00269621,0.0120944,0.0763454,40.2923,1.28471,1.29681,1.2653,1.27722,-9.85407,-3.06624,-16.7066,-16.4438,4.07637,2.58153,2.54252
0.6,-6.45082,-1.0607,-0.00370557,0.187146,127,-6.45189,-0.999981,-0.060711,0.0168476,0.00476753,0.00198882,0.00106648,0.0597612,0.0924664,-0.00269453,0.012317,0.0761487,40.0532,1.28195,1.29414,1.26315,1.27517,-9.80635,-2.99245,-16.6716,-16.4169,4.05218,2.57609,2.53833
0.61,-6.4499,-1.06073,-0.00358162,0.188967,130,-6.45076,-0.99998,-0.0607396,0.016853,0.00476979,0.00199003,0.00106725,0.0597772,0.0924795,-0.00269302,0.0125374,0.0760238,39.8364,1.28024,1.29254,1.26216,1.27429,-9.75278,-2.91311,-16.6503,-16.4049,4.03025,2.57277,2.53645
0.62,-6.44897,-1.06075,-0.00345548,0.190762,132,-6.45,-0.999979,-0.0607681,0.0168566,0.00477129,0.00199084,0.00106777,0.0597932,0.0924966,-0.00269063,0.0127549,0.0758593,39.607,1.2779,1.2903,1.26053,1.27276,-9.70227,-2.83794,-16.6208,-16.3846,4.00704,2.5682,2.53328
0.63,-6.44805,-1.06078,-0.00332718,0.192536,134,-6.44925,-0.999978,-0.0607967,0.0168602,0.0047728,0.00199165,0.00106828,0.0598091,0.0925077,-0.0026883,0.0129703,0.0757552,39.3744,1.27651,1.28901,1.25988,1.27222,-9.65458,-2.76279,-16.6037,-16.377,3.98351,2.56553,2.53209
0.64,-6.44712,-1.06081,-0.00319673,0.194294,137,-6.44811,-0.999978,-0.0608253,0.0168656,0.00477505,0.00199286,0.00106906,0.059825,0.0925222,-0.00268525,0.0131832,0.0756158,39.1372,1.27458,1.28718,1.25865,1.2711,-9.61082,-2.69211,-16.5794,-16.362,3.95951,2.56175,2.52975
0.65,-6.4462,-1.06084,-0.00306417,0.196026,139,-6.44736,-0.999977,-0.0608538,0.0168692,0.00477656,0.00199367,0.00106957,0.0598408,0.0925317,-0.00268222,0.013394,0.0755274,38.9097,1.27337,1.28608,1.25825,1.27081,-9.5621,-2.61702,-16.5647,-16.3577,3.9365,2.55946,2.52906
0.66,-6.44527,-1.06087,-0.00292952,0.197741,142,-6.44623,-0.999976,-0.0608824,0.0168746,0.00477881,0.00199489,0.00107035,0.0598566,0.0925442,-0.0026785,0.0136019,0.0754095,38.7065,1.27161,1.28441,1.25734,1.27,-9.50504,-2.53886,-16.5425,-16.3467,3.91594,2.55602,2.52734
0.67,-6.44435,-1.06089,-0.00279281,0.199432,144,-6.44547,-0.999975,-0.0609109,0.0168782,0.00478032,0.0019957,0.00107087,0.0598723,0.0925524,-0.00267462,0.0138078,0.0753336,38.4586,1.27064,1.28355,1.25715,1.26992,-9.46643,-2.47069,-16.5309,-16.3452,3.89085,2.55419,2.52708
0.68,-6.44342,-1.06092,-0.00265404,0.201106,147,-6.44434,-0.999974,-0.0609394,0.0168836,0.00478258,0.00199691,0.00107164,0.059888,0.0925632,-0.0026703,0.0140114,0.0752319,38.2442,1.26914,1.28214,1.25651,1.26938,-9.41538,-2.39676,-16.5121,-16.3377,3.86917,2.55127,2.52589
0.69,-6.44249,-1.06095,-0.00251326,0.202755,149,-6.44359,-0.999973,-0.0609678,0.0168872,0.00478409,0.00199772,0.00107216,0.0599037,0.0925702,-0.00266584,0.0142126,0.0751689,38.0315,1.2682,1.2813,1.25649,1.26947,-9.36283,-2.32095,-16.5007,-16.3383,3.84765,2.5495,2.52597
0.7,-6.44157,-1.06098,-0.00237047,0.204388,152,-6.44245,-0.999972,-0.0609963,0.0168927,0.00478635,0.00199894,0.00107294,0.0599193,0.0925797,-0.00266071,0.0144113,0.0750809,37.8158,1.26687,1.28007,1.25607,1.26915,-9.31371,-2.24894,-16.4843,-16.3336,3.82583,2.54695,2.52522
0.71,-6.44064,-1.061,-0.00222572,0.205995,154,-6.4417,-0.999972,-0.0610247,0.0168963,0.00478786,0.00199975,0.00107345,0.0599348,0.0925857,-0.00265556,0.0146077,0.0750274,37.6077,1.26603,1.27933,1.25619,1.26938,-9.26049,-2.1736,-16.474,-16.3361,3.80477,2.54536,2.52557
0.72,-6.43972,-1.06103,-0.00207901,0.207583,156,-6.44095,-0.999971,-0.061053,0.0168999,0.00478936,0.00200056,0.00107397,0.0599504,0.0925941,-0.00264977,0.0148018,0.0749511,37.3786,1.26489,1.27828,1.25595,1.26925,-9.21644,-2.10538,-16.46,-16.3338,3.78159,2.54317,2.5252
0.73,-6.43879,-1.06106,-0.00193037,0.209155,159,-6.43981,-0.99997,-0.0610814,0.0169053,0.00479163,0.00200178,0.00107475,0.0599659,0.0925994,-0.00264401,0.014994,0.0749043,37.1639,1.26416,1.27765,1.25619,1.26959,-9.16937,-2.03461,-16.4513,-16.3377,3.75988,2.54182,2.52579
0.74,-6.43787,-1.06108,-0.00177983,0.210702,161,-6.43906,-0.999969,-0.0611096,0.0169089,0.00479314,0.00200259,0.00107527,0.0599813,0.0926068,-0.00263767,0.0151837,0.074838,36.9525,1.26308,1.27666,1.25609,1.2696,-9.11891,-1.96333,-16.4379,-16.3373,3.73849,2.53974,2.52569
0.75,-6.43694,-1.06111,-0.0016274,0.212235,164,-6.43793,-0.999968,-0.0611379,0.0169143,0.0047954,0.00200381,0.00107605,0.0599967,0.0926116,-0.00263118,0.0153714,0.0747966,36.7316,1.26243,1.27611,1.25642,1.27003,-9.07582,-1.89589,-16.4302,-16.3423,3.71614,2.53854,2.52644
0.76,-6.43601,-1.06114,-0.00147311,0.213743,166,-6.43718,-0.999967,-0.061166,0.0169179,0.00479691,0.00200462,0.00107657,0.0600121,0.0926181,-0.00262427,0.0155566,0.0747388,36.5306,1.2614,1.27517,1.25643,1.27014,-9.0221,-1.82347,-16.4175,-16.3433,3.69581,2.53657,2.52658
0.77,-6.43509,-1.06117,-0.00131698,0.215235,169,-6.43605,-0.999966,-0.0611942,0.0169234,0.00479918,0.00200584,0.00107735,0.0600275,0.0926223,-0.00261716,0.0157397,0.0747033,36.3304,1.26073,1.27459,1.25682,1.27063,-8.97135,-1.7524,-16.4094,-16.3491,3.67555,2.53532,2.52745
0.78,-6.43416,-1.06119,-0.00115903,0.216704,171,-6.43529,-0.999965,-0.0612222,0.016927,0.00480069,0.00200666,0.00107787,0.0600428,0.0926282,-0.00260955,0.0159204,0.0746523,36.1182,1.25983,1.27377,1.25695,1.27086,-8.9239,-1.68462,-16.3984,-16.3516,3.65408,2.5336,2.52781
0.79,-6.43324,-1.06122,-0.000999288,0.218157,174,-6.43416,-0.999964,-0.0612503,0.0169324,0.00480296,0.00200788,0.00107865,0.0600581,0.092632,-0.00260188,0.0160993,0.0746213,35.9128,1.25922,1.27326,1.2574,1.27142,-8.8767,-1.61659,-16.3911,-16.3582,3.63329,2.53248,2.52882
0.8,-6.43231,-1.06125,-0.000837771,0.219587,176,-6.43341,-0.999963,-0.0612782,0.016936,0.00480448,0.00200869,0.00107917,0.0600733,0.0926372,-0.00259374,0.0162758,0.0745766,35.7066,1.25836,1.27248,1.25762,1.27173,-8.82792,-1.54887,-16.3806,-16.3618,3.61243,2.53085,2.52935
0.81,-6.43138,-1.06127,-0.000674499,0.221003,179,-6.43228,-0.999962,-0.0613061,0.0169415,0.00480675,0.00200992,0.00107995,0.0600886,0.0926407,-0.00258544,0.0164504,0.0745489,35.493,1.25782,1.27203,1.25813,1.27234,-8.78553,-1.48465,-16.3742,-16.3692,3.59082,2.52985,2.53047
